doc_content,doc_title,doc_section,doc_chapter,content_root1,content_root2,content_root3,content_root4,content_root5,content_root6,doc_index,doc_order
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.12  Cold weather requirements 5.12.1 Adequate equipment shall be provided for heating concrete materials and protectingconcrete during freezingor near-freezing weather.,,,,,,,158
" Concrete materials and all reinforcement, forms, fillers and ground with which concrete is to come in contact shall be free from frost. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.12  Cold weather requirements 5.12.1 Adequate equipment shall be provided for heating concrete materials and protectingconcrete during freezingor near-freezing weather.,5.12.2,,,,,,159
 Frozen materials or materials containing ice shall not be used. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.12  Cold weather requirements 5.12.1 Adequate equipment shall be provided for heating concrete materials and protectingconcrete during freezingor near-freezing weather.,5.12.3,,,,,,160
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.13 -Hot weather requirements,,,,,,,161
" Duringhotweather, proper attention shall be given to ingredients, production methods, handling, placing, protection, and curing to prevent excessive concrete temperatures or water evaporation that could impair required strength or serviceability ofthe member or structure. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.13 -Hot weather requirements,5.13.1,,,,,,162
 The method of controlling concrete temperatures shall bespecified in the construction specification. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 5 Concrete Quality, Mixing, and Placing",5.13 -Hot weather requirements,5.13.2,,,,,,163
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",,,,,,,,164
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,,,,,,,165
" Forms shall resultin a final structure that conforms toshapes, lines, and dimensionsofthe members as required by the design drawings and specifications. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,6.1.1,,,,,,166
 Forms shall be substantial and sufficiently tight to prevent leakage ofmortar. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,6.1.2,,,,,,167
 Forms shall be properly braced or tied together to maintain position and shape. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,6.1.3,,,,,,168
 Forms and their supports shall bedesigned so as not to damage previously placed structure. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,6.1.4,,,,,,169
" Design of formwork shall include consideration of the following factors: a) Rateand methodof placing concrete. b) Construction loads, including vertical, horizontal, and impactloads. c) Special form requirements for construction of shells, folded plates, domes, architectural concrete, or similar typesofelements.  ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,6.1.5,,,,,,170
 Forms for prestressed concrete members shall bedesigned and constructed to permit movement of the member without damageduringapplication of prestressing force. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,6.1.6,,,,,,171
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,"6.1.7  When using steel liners as formwork, special attention shall be given:",,,,,,172
 To liner supports to provide the required tolerances forpenetrations. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,"6.1.7  When using steel liners as formwork, special attention shall be given:",6.1.7.1,,,,,173
 To the depth of placement in order to limit the deformation of the liner. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,"6.1.7  When using steel liners as formwork, special attention shall be given:",6.1.7.2,,,,,174
" Where coating systems are to be applied to the concrete, formworkshall becompatible with thecoatingsystem. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.1 -DDesign of formwork,6.1.8,,,,,,175
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.2  Removal of forms and shores,,,,,,,176
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.2  Removal of forms and shores,"6.2.1  No construction loads shall be supported on, norany shoring removed from, any part of the structure under construction except when that portion ofthe structure in combination with remaining forming and shoring system has sufficient strength to support safely its weight and loads placed thereon.",,,,,,177
" Sufficient strength shall be demonstrated by structural analysis considering proposed loads, strength of forming and shoring system, and concrete strength data. Concrete strengthdata may be based on tests of field-cured cylinders or, when approved by the Engineer, on other procedurest0evaluateconcrete strength. Structural analysisand concrete strength test data shall be furnished to the Engineer when SO required. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.2  Removal of forms and shores,"6.2.1  No construction loads shall be supported on, norany shoring removed from, any part of the structure under construction except when that portion ofthe structure in combination with remaining forming and shoring system has sufficient strength to support safely its weight and loads placed thereon.",6.2.1.1,,,,,178
" No construction loads exceeding the combination of superimposeddead load plus specified liveload shallbesupported on any unshored portion of the structure under construction, unless analysis indicates adequate strength to support such additional loads. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.2  Removal of forms and shores,6.2.2,,,,,,179
 Forms shallberemoved in such manner as not toimpair safety and serviceability ofthe structure. All concrete to be exposed by form removal shall have sufficient strength nottobe damaged thereby. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.2  Removal of forms and shores,6.2.3,,,,,,180
 Form supports for prestressed concrete members shall not be removed until sufficient prestressing has been applied to enable prestressed members to carry their dead load and anticipated construction loads. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.2  Removal of forms and shores,6.2.4,,,,,,181
" Where coating systems are to be applied to the concrete onlythosehardeners, additives, and form release agents which are compatible with the coating system shall beused. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.2  Removal of forms and shores,6.2.5,,,,,,182
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",,,,,,,183
" Conduits, pipes, and sleeves of any material not harmful 10 concrete and within limitations of 6.3 shall be Engineer,provided they are not considered to replace structurally the displaced concrete except as defined in 6.3.6. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.1,,,,,,184
" Aluminum conduits, pipes, and sleeves shall not be embedded in structural concrete unless effectively coated or covered to prevent aluminunn-concrete reaction or electrolytic action between aluminum and steel. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.2,,,,,,185
" Conduits, pipes, and sleeves passing throughaslab, wall, or beam shall not impair significantly the strength of the construction. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.3,,,,,,186
" Conduits, pipes and sleeves with their fittings, embedded within a column shall not displace more than 4 percent of the area of cross section on which strength 1S calculated or whichis required for fire protection. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.4,,,,,,187
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.5  Except when design (or shop)drawingsfor conduits and pipes are approved by theEngineer, conduits and pipes embedded within a slab, wall, or beam (other than those merely passing through) shallsatisfy the following:",,,,,,188
" They shall not be larger in outside dimension than1/3 the overall thickness of slab, wall, or beamin which they are embedded  ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.5  Except when design (or shop)drawingsfor conduits and pipes are approved by theEngineer, conduits and pipes embedded within a slab, wall, or beam (other than those merely passing through) shallsatisfy the following:",6.3.5.1,,,,,189
 Theyshall not bespacedcloser than 3 diameters on center ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.5  Except when design (or shop)drawingsfor conduits and pipes are approved by theEngineer, conduits and pipes embedded within a slab, wall, or beam (other than those merely passing through) shallsatisfy the following:",6.3.5.2,,,,,190
 They shall not impair significantly the strength of the construction. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.5  Except when design (or shop)drawingsfor conduits and pipes are approved by theEngineer, conduits and pipes embedded within a slab, wall, or beam (other than those merely passing through) shallsatisfy the following:",6.3.5.3,,,,,191
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.6  Conduits, pipes, and sleevesshall be permitted t0 be considered as replacing structurally in compression the displaced concreteprovided:",,,,,,192
 They are not exposed torusting or other deterioration.  ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.6  Conduits, pipes, and sleevesshall be permitted t0 be considered as replacing structurally in compression the displaced concreteprovided:",6.3.6.1,,,,,193
 They are of uncoated or galvanized iron or steel not thinner than standard Schedule 40 steel pipe. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.6  Conduits, pipes, and sleevesshall be permitted t0 be considered as replacing structurally in compression the displaced concreteprovided:",6.3.6.2,,,,,194
 They have a nominal inside diameter not over 2in. and are spaced not less than 3 diameters on centers. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.6  Conduits, pipes, and sleevesshall be permitted t0 be considered as replacing structurally in compression the displaced concreteprovided:",6.3.6.3,,,,,195
" Pipesand fittings shall be designed to resist effects of the material, pressure, temperature to which they will be subjected.  ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.7,,,,,,196
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.8  All piping and fittings except as provided in 6.3.8.1 shall be tested as a unit forleaks before concrete placement. Pressure tests shall be inaccordance with the applicablepiping code or standard. Where pressure testingrequirements are not specifiedin a code or standard, pressuretestingshall meet the following requirements: (1) The testing pressure above atmospheric pressure shall be50 percent in excess of pressure to which piping and fittings may be subjected, but minimum testing pressure shall not be less than 150 psi above atmospheric pressure. (2) The test pressure shall be heldfor4 hours withnodropinpressureallowed,except that which may be caused by a drop in air temperature.",,,,,,197
 Drain pipes and other piping designed for pressures ofnot more than 1 ps1aboveatmospheric pressure need not be tested as required in 6.3.8. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.8  All piping and fittings except as provided in 6.3.8.1 shall be tested as a unit forleaks before concrete placement. Pressure tests shall be inaccordance with the applicablepiping code or standard. Where pressure testingrequirements are not specifiedin a code or standard, pressuretestingshall meet the following requirements: (1) The testing pressure above atmospheric pressure shall be50 percent in excess of pressure to which piping and fittings may be subjected, but minimum testing pressure shall not be less than 150 psi above atmospheric pressure. (2) The test pressure shall be heldfor4 hours withnodropinpressureallowed,except that which may be caused by a drop in air temperature.",6.3.8.1,,,,,198
" Pipes carrying liquid, gas, or vapor that ISexplosive or injurious to health shall again be tested as specified in 6.3.8 after the concrete has reached its required 28-day strength. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete","6.3.8  All piping and fittings except as provided in 6.3.8.1 shall be tested as a unit forleaks before concrete placement. Pressure tests shall be inaccordance with the applicablepiping code or standard. Where pressure testingrequirements are not specifiedin a code or standard, pressuretestingshall meet the following requirements: (1) The testing pressure above atmospheric pressure shall be50 percent in excess of pressure to which piping and fittings may be subjected, but minimum testing pressure shall not be less than 150 psi above atmospheric pressure. (2) The test pressure shall be heldfor4 hours withnodropinpressureallowed,except that which may be caused by a drop in air temperature.",6.3.8.2,,,,,199
" No liquid, gas, or vapor, except water not exceeding 90F nor 50 ps pressure, shall be placed in the pipes until the concretehasattainedacompressivestrengthofatleast 1000psi. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.9,,,,,,200
" Insolid slabs thepiping, unlessitisforradiantheating orsnow melting, shall be placed betweentopand bottom reinforcement. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.10,,,,,,201
" Concrete cover for pipes, conduits, and fittings shall notbelessthan 11/ in. forconcrete exposed to earth or weather, nor3/4in. for concretenot exposed to weather or in contact with ground. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.11,,,,,,202
 Reinforcement with an area not less than 0.002 times the area of concrete section shall be provided normal to piping. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.12,,,,,,203
" Piping and fittingsshall beassembled according to the construction specifications. Screw connections shall be prohibited. 6.3.14 Piping and conduit shall be SO fabricated and installed that cutting, bending, or displacement of reinforcement from its specified location, beyond the limitations of 7.5.2.3, will not be required. 6.3.15 All piping containing liquid, gas, or vapor pressure in excessof200pS1 above atmospheric pressure ortemperature in excess of 150 F shall be sleeved, insulated, orotherwise separated from the concrete and/or cooled to limit concrete stressestoallowabledesign values andto limitconcrete temperatures to the following: a) For normal operation or any other long-termperiod, the temperatures shall not exceed 150 F, except for local areas which are allowed to have increased temperatures notto exceed 200F. b) For accident or any other short-term period, the temperatures shall not exceed 350 F for the interior surface. However, local areas are allowed to reach 650 F from fluid jets in the event ofa pipe failure. c) Higher temperatures than given in Items (a) and (b) may be allowed in the concrete iftests are provided to evaluate the reduction in strength and this reductionisapplied to the design allowables. Evidence shall also be provided which verifies that the increased temperatures do not cause deterioration of the concrete either with or without load. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints","6.3  Conduits, pipes, and sleeves embedded in concrete",6.3.13,,,,,,204
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.4  Construction joints,,,,,,,205
 Surface of concrete construction joints shall be cleaned and laitance removed. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.4  Construction joints,6.4.1,,,,,,206
" Immediately before new concreteis placed, all construction jointsshall be wetted and standing water removed. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.4  Construction joints,6.4.2,,,,,,207
 Construction joints shall be so made and located as not to impair the strength of the structure. All construction Joints shall be indicated on thedesign drawings or shall be approvedby the Engineer. Provision shall be made for transfer ofshearand other forces through construction joints. See 11.7.9. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.4  Construction joints,6.4.3,,,,,,208
" Construction Joints in floors excluding slabs on grade shall be located within the middle third of spans of slabs, beams, or girders. Joints in girders shall be located a minimum distance of two times the width of intersecting beams. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.4  Construction joints,6.4.4,,,,,,209
" Beams, girders, or slabs supported by columns or walls shall not be cast or erected until concretein the vertical ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.4  Construction joints,6.4.5,,,,,,210
" Beams, girders, haunches, drop panels, and capitals shall be placed monolithically aspartofa slab system, unless otherwise shown in designdrawings or specifications. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,"Chapter 6  Formwork, Embedded Pipes, and Construction Joints",6.4  Construction joints,6.4.6,,,,,,211
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,,,,,,,,212
" Notation A = effective tensile area ofconcrete surrounding the reinforcing bars and having the same centroid as that reinforcement, divided by the number of bars, s9in. When the reinforcementconsists ofseveral bar sizes, the number ofbars shall be computed as thetotal steel area divided by the areaoftheIargest bar used Asmin= minimum reinforcement formassiveconcrete elements (See7.12.2) d = distance from extreme compression fiber to centroid oftension reinforcement, in. db = nominal diameter ofbar, wire, or prestressing strand, in. js = stress in reinforcing steel, ps1 f' = specified tensile strength ofconcrete, psi. fy = specified yield strength ofnonprestressed reinforcement, psi ld = development length, in. (See Chapter 12) ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7,,,,,,,213
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,"7.1 -Standard hooks The term""standard hook"" as used in thiscode shall mean one ofthe following: 7.1.1 180-deg bend plus 4db extension, but not less than 2%in. at free end of bar. 7.1.290-degbend plus 12db extension at free end of bar.",,,,,,,214
" For stirrup and tie hooks* a) No.5 bar and smaller, 90-deg bend plus 6dbextension at free end of bar, or b) No. 6, 7,and8 bar, 90-deg bend plus 12db extension at free end ofbar, or c) No. 8 bar and smaller, 135-deg bend plus 6db extension at free end ofbar. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,"7.1 -Standard hooks The term""standard hook"" as used in thiscode shall mean one ofthe following: 7.1.1 180-deg bend plus 4db extension, but not less than 2%in. at free end of bar. 7.1.290-degbend plus 12db extension at free end of bar.",7.1.3,,,,,,215
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.2 -Minimum bend diameters,,,,,,,216
" Diameter of bend measured on the inside of the bar, other than for stirrups and ties in sizes No. 3 through No.5, shall not be less than the valuesin Table 7.2. Table 7.2-Minimum diameters of bend Barsize Minimumdiameter No. 3through No.8 6db No.9,No. 10,and No. 11 8db No. 14and No. 18 10db ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.2 -Minimum bend diameters,7.2.1,,,,,,217
" Inside diameter of bends for stirrups and ties shall not be less than4db forNo: 5 bar and smaller. For barslarg- * For closedties and continuously wound ties defined as hoops Chapter21. a135-deg bend plus an extension of leasl 6d} but not less than 75mm (See definitionof ""hoop 21.1) er than No. 5, diameter of bend shall be in accordance with Table7.2. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.2 -Minimum bend diameters,7.2.2,,,,,,218
 Inside diameter of bends in welded wire fabric (smooth or deformed) for stirrups and ties shall not be less than4db for deformed wire larger than D6 and 2db for all other wires. Bends with inside diameterofless than8db shall not be less than4db from nearest welded intersection. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.2 -Minimum bend diameters,7.2.3,,,,,,219
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.3  Bending,,,,,,,220
" Reinforcement shall be bent cold, unless otherwise permitted by the Engineer. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.3  Bending,7.3.1,,,,,,221
" Reinforcement partiallyembedded in concrete shall not befield bent, exceptas shown on the designdrawings or permitted by the Engineer. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.3  Bending,7.3.2,,,,,,222
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.4 -Surface conditions of reinforcement,,,,,,,223
" Attimeconcreteisplaced, metal reinforcement shall be free from mud, oil, orother nonmetallic coatings that decrease bond. Epoxy coatings of bars, in accordance with standards in this code, are permittedif the coating 1S qualified for service conditions (i.e., temperature and radiation), as well as fabrication conditions (i.e., damaged epoxy coatingsshall be repaired). ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.4 -Surface conditions of reinforcement,7.4.1,,,,,,224
" Metal reinforcement, except prestressing tendons, with rust, mill scale, or a combination ofboth shall be considered satisfactory,provided the minimum dimensions (including height ofdeformations) and weightof a hand-wirebrushed test specimen are not less than applicable ASTM specification requirements. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.4 -Surface conditions of reinforcement,7.4.2,,,,,,225
" Prestressing tendons shall be clean and free of oil, dirt, scale, pitting, and excessive rust. A light oxide is permissible. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.4 -Surface conditions of reinforcement,7.4.3,,,,,,226
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.5 -Placing reinforcement,,,,,,,227
" Reinforcement, prestressing tendons, and ducts shall be accurately placed and adequately supported before concrete 1S placed, and shall be secured against displacement within tolerances permitted in 7.5.2. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.5 -Placing reinforcement,7.5.1,,,,,,228
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.5 -Placing reinforcement,"7.5.2  Unless otherwise specified by the Engineer, reinforcement, prestressingtendons, and prestressingducts shall be placed within the following tolerances:",,,,,,229
" Tolerance for depthd, and minimum concrete cover in flexural members, walls and compression members shall be as follows: Tolerance on minimum Tolerance on d concrete cover ds8in. +3/gin. 3/8in. ds24in. 노(/ii.. -/gin. d>24in. +1 -/2in Except thattolerance forthe clear distance to formed soffitsshall beminus1/4in.and toleranceforcover shall notexceed minus 1/3 the mintmum concrete cover required in the ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.5 -Placing reinforcement,"7.5.2  Unless otherwise specified by the Engineer, reinforcement, prestressingtendons, and prestressingducts shall be placed within the following tolerances:",7.5.2.1,,,,,230
 Tolerance for longitudinal location ofbendsand endsofreinforcementshall be+2in. exceptatdiscontinuous endsofmembers where tolerance shall be+1/2in. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.5 -Placing reinforcement,"7.5.2  Unless otherwise specified by the Engineer, reinforcement, prestressingtendons, and prestressingducts shall be placed within the following tolerances:",7.5.2.2,,,,,231
" Weldedwirefabric(with wiresizenot greaterthanW5 orD5) used in slabsnot exceeding 10ftinspan may be curved fromapoint near the topofslaboverthesupporttoapoint near the bottomofslabat midspan, provided such reinforcementis either continuousover,orsecurely anchored at, support. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.5 -Placing reinforcement,7.5.3,,,,,,232
 Welding of crossing bars shall not be permitted for assemblyofreinforcementunlessauthorizedby theEngineer. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.5 -Placing reinforcement,7.5.4,,,,,,233
" Bars may be moved as necessary to avoid interference with other reinforcing steel, conduits, or embedded items subject to the approval of the Engineer. If bars are moved more than one bar diameter, or enough to exceed the above tolerances, the resulting arrangement of bars shall be subject to approval by the Engincer. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.5 -Placing reinforcement,7.5.5,,,,,,234
,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,,,,,,,235
 Theminimum clear spacing between parallel barsin a layer shall not be less than db nor 1 in. See also Section 3.3.2. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,7.6.1,,,,,,236
" Where parallel reinforcement is placed in two or more layers, bars in the upper layers shall beplaced directly above bars in the bottom layer with clear distance between layers not less than 1 in.  ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,7.6.2,,,,,,237
" In spirally reinforced ortied reinforced compression members, clear distance between longitudinal bars shall not be less than 1.5db nor1%in. See also 3.3.2. ",ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,7.6.3,,,,,,238
 Clear distance limitation between bars shall apply also to thecleardistance betweena contactlapspliceand adJacent splices or bars. ,ACI_349_97 ,PART 3 - CONSTRUCTION REQUIREMENTS,Chapter 7 --Details of Reinforcement,7.6  Spacing limits forreinforcement,7.6.4,,,,,,239
