doc_content,doc_section,content_root1,content_root2,content_root3,content_root4,content_chapter,doc_title,doc_index,doc_order
" Where beams or brackets do not frame into all sides of a column, ties shall extend above termination of spiral to bottom of slab or droppanel. ",7.10.4.7,7.10 -Lateral reinforcement for compression members,7.10.4  Spirals Spiral reinforcement for compression members shall conform to 10.9.3 and to the following:,7.10.4.7,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,449
" In columns with capitals, spirals shall extend to a level at which the diameter or width ofcapital is two times that ofthe column ",7.10.4.8,7.10 -Lateral reinforcement for compression members,7.10.4  Spirals Spiral reinforcement for compression members shall conform to 10.9.3 and to the following:,7.10.4.8,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,450
 Spirals shall beheld firmly in place and true to line. ,7.10.4.9,7.10 -Lateral reinforcement for compression members,7.10.4  Spirals Spiral reinforcement for compression members shall conform to 10.9.3 and to the following:,7.10.4.9,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,451
,7.10.5  Ties,7.10 -Lateral reinforcement for compression members,7.10.5  Ties Tie reinforcement for compression members shall conform to the following:,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,452
 Tie reinforcement for compression members shall conform to the following:,,7.10 -Lateral reinforcement for compression members,7.10.5  Ties Tie reinforcement for compression members shall conform to the following:,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,453
" All nonprestressed bars shall beenclosed by lateralties, at leastNo. 3 insize for longitudinal bars No. 10 or smaller, and at least No. 4 insize for No. 11, No. 14, No 18, and bundled longitudinal bars. Deformed wire or welded wire fabric of equivalent area shall be permitted. ",7.10.5.1,7.10 -Lateral reinforcement for compression members,7.10.5  Ties Tie reinforcement for compression members shall conform to the following:,7.10.5.1,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,454
" Vertical spacingofties shall not exceed 16 longitudinal bar diameters,48 tie bar or wire diameters, or least dimension of the compression member. ",7.10.5.2,7.10 -Lateral reinforcement for compression members,7.10.5  Ties Tie reinforcement for compression members shall conform to the following:,7.10.5.2,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,455
" Ties shall be arranged such that every corner and alternate longitudinal bar shall have lateral support providedby the corner ofa tie with an included angleofnotmore than 135 degree and no bar shall be farther than 6 in.clearon each side along thetie from sucha laterally supported bar. Where longitudinal barsare located around the perimeter of a circle, acompletecircular tie shall be permitted. ",7.10.5.3,7.10 -Lateral reinforcement for compression members,7.10.5  Ties Tie reinforcement for compression members shall conform to the following:,7.10.5.3,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,456
" Ties shall be located vertically not more than onehalfatiespacingabove the top of footing orslab manystory, andshall be spaced as provided herein to not more than one-half a tiespacing below the lowest horizontal reinforcement in slab or drop Danel above. ",7.10.5.4,7.10 -Lateral reinforcement for compression members,7.10.5  Ties Tie reinforcement for compression members shall conform to the following:,7.10.5.4,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,457
" Where beams or brackets frame intoall vertical faces ofa column and ifat least three quarters of each face is covered by the framing member, tiesshall be permitted not more than 3 in. below lowest reinforcement in  shallowest of such beams or brackets. ",7.10.5.5,7.10 -Lateral reinforcement for compression members,7.10.5  Ties Tie reinforcement for compression members shall conform to the following:,7.10.5.5,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,458
,7.11 -Lateral reinforcementfor flexural members ,7.11 -Lateral reinforcementfor flexural members ,,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,459
 Compression reinforcement in beams shall beenclosed by ties or stirrups satisfying the sizeand spacing limitationsm 7.10.5 or by welded wire  fabric of equivalent area. Such ties or stirrups shall be provided throughout the distance where compression reinforcement is required. ,7.11.1,7.11 -Lateral reinforcementfor flexural members ,7.11.1,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,460
" Lateral reinforcement for flexural framing members subject to stress reversals or to torsion at supports shall consist of closed ties, closed stirrups, or spirals extending around the flexural reinforcement.  ",7.11.2,7.11 -Lateral reinforcementfor flexural members ,7.11.2,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,461
" Closed ties or stirrups may be formed in one pieceby overlapping standard stirrup or tieend hooks around a longitudinal bar, or formed inoneor two pieces lap spliced witha Class B splice(lapof1.3a) or anchored inaccordance with 12.13 ",7.11.3,7.11 -Lateral reinforcementfor flexural members ,7.11.3,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,462
,7.12 -Minimum reinforcement ,7.12 -Minimum reinforcement ,,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,463
" All exposed concrete surfaces shall be reinforced with reinforcement placed in two approximately perpendicular directions. For the purpose ofthe requirements of 7.12, concrete surfaces shall be considered to be exposedifthey are not cast against existing concrete or against rock. The reinforcement shall be developed for its specifiedyield strength in conformance with Chapter 12. The minimum area of such reinforcement shall bein accordance with 7.12.2,7.12.3 or 7.12.4.,7.12.5, or 7.12.6. This requirement may be metin total or in part by reinforcement otherwise required toresist design loads Reinforcement shall be spaced not fartherapart than 18in. ",7.12.1,7.12 -Minimum reinforcement ,7.12.1,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,464
 For concretesections less than 48 in. thick such reinforcement shall provideat least a rat10ofarea ofreinforcement togross concrete area of0.0012 ineachdirection at each face. ,7.12.2,7.12 -Minimum reinforcement ,7.12.2,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,465
" For concrete sections havinga thickness of 48 in or more,such reinforcementshall providean area A's in eachdirection at each face given by A A but need not exceed A/100 smin The minimum reinforcementsizeshall be No. 6bars. In lieu ofcomputation,fs may betaken as60%ofthe specifiedyield strengthfy ",7.12.3,7.12 -Minimum reinforcement ,7.12.3,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,466
" For concrete sections havinga thickness of 72 or more, no minimum reinforcement ISrequired formembers constructed by theprinciples and practicerecommended byACI Committee 207 for nonreinforced massiveconcrete structures ",7.12.4,7.12 -Minimum reinforcement ,7.12.4,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,467
" On a tension face of a structural slab, wall, or shell, where a calculated reinforcement requirement exists, the ratio of reinforcement area provided atthe tension face to gross concrete area shall not be less than 0.0018 unless the area ofreinforcement provided at the tension face is at least one-third greater than that required by analysis. All other exposed faces ofthe structural slab wall, or shell shall be reinforced to meet the minimum requirements of 7.12.1,7.12.2 and 7.12.3 ",7.12.5,7.12 -Minimum reinforcement ,7.12.5,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,468
,7.12.6  Prestressing tendons conforming t0 3.5.5 used for minimum reinforcement shall be provided in accordance with the following:,7.12 -Minimum reinforcement ,7.12.6  Prestressing tendons conforming t0 3.5.5 used for minimum reinforcement shall be provided in accordance with the following:,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,469
" Tendons shall be proportioned to provide a minimum average compressive stress of 100 psi on gross concrete area using effective prestress, after losses, in accordance with 18.6. ",7.12.6.1,7.12 -Minimum reinforcement ,7.12.6  Prestressing tendons conforming t0 3.5.5 used for minimum reinforcement shall be provided in accordance with the following:,7.12.6.1,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,470
 Spacing of tendons shall not exceed 6ft ,7.12.6.2,7.12 -Minimum reinforcement ,7.12.6  Prestressing tendons conforming t0 3.5.5 used for minimum reinforcement shall be provided in accordance with the following:,7.12.6.2,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,471
 When spacing of tendons exceeds 54 in. additional bonded minimum reinforcement confining to 7.12.2 shall be provided between the tendons at slab edges extending from the slab edge for a distance equal to the tendon spacing. ,7.12.6.3,7.12 -Minimum reinforcement ,7.12.6  Prestressing tendons conforming t0 3.5.5 used for minimum reinforcement shall be provided in accordance with the following:,7.12.6.3,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,472
,7.13 -Requirements for structural integrity,7.13 -Requirements for structural integrity,,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,473
"In the detailing of reinforcement and connections, members ofa structure shall be effectively tied togetherto improve integrity ofthe overall structure. ",7.13.1,7.13 -Requirements for structural integrity,,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,474
,"7.13.2  For cast-in-place construction, the following shall constitute minmmm requirements:",7.13 -Requirements for structural integrity,"7.13.2  For cast-in-place construction, the following shall constitute minmmm requirements:",,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,475
" In joist construction, at least one bottom bar shall be continuous or shall be spliced over the support with a Class A tension splice and at noncontinuous supports be terminated with a standard hook ",7.13.2.1,7.13 -Requirements for structural integrity,"7.13.2  For cast-in-place construction, the following shall constitute minmmm requirements:",7.13.2.1,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,476
" Beams at the perimeter of the structure shall have at least one-sixth ofthe tension reinforcement required for negative moment at the support and one-quarter of the positive moment reinforcement required at midspan madecontinuous around the perimeter and tied with closed stirrups, or stirrups anchored around the negative moment reinforcement with a hook having a bend ofat least 135 degrees Stirrups need not be extended through any Joints. When splices are needed, the required continuity shall be provided with top reinforcement spliced at midspan and bottom reinforcement spliced ator near the support with ClassA tension splices. ",7.13.2.2,7.13 -Requirements for structural integrity,"7.13.2  For cast-in-place construction, the following shall constitute minmmm requirements:",7.13.2.2,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,477
" In other than perimeter beams, when closed stirrups are not provided, at least one-quarter ofthe positive moment reinforcement required at midspan shall be continuous or shall be spliced over the support with Class A tension splice and at noncontinuous supports be terminated with a standard hook. ",7.13.2.3,7.13 -Requirements for structural integrity,"7.13.2  For cast-in-place construction, the following shall constitute minmmm requirements:",7.13.2.3,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,478
" For two-way slab construction, see 13.3.8.5. ",7.13.2.4,7.13 -Requirements for structural integrity,"7.13.2  For cast-in-place construction, the following shall constitute minmmm requirements:",7.13.2.4,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,479
" For precast concrete construction, tension ties shall be provided in the transverse, longitudinal, and vertical directions and around the perimeter ofthe structure to effectively tie elements together. Theprovisions of16.5 shall apply.",7.13.3,7.13 -Requirements for structural integrity,7.13.3,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,480
"For lift-slab construction, see 13.3.8.6and 18. 12.6. ",7.1.3.4,7.13 -Requirements for structural integrity,,,,CHAPTER 7 -DETAILS OF REINFORCEMENT,,,481
,PART 4 -GENERAL REQUIREMENTS,,,,,,,,482
,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,483
,8.1 -Design methods,8.1 -Design methods,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,484
" In design ofstructural concrete, members shall be proportioned for adequate strength in accordance with provisions ofthis code, using load factors and strength reduction factors fspecified in Chapter 9. ",8.1.1,8.1 -Design methods,8.1.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,485
" Anchors for attaching to concreteshall be designed using Appendix B, Anchoring to Concrete. ",8.1.2,8.1 -Design methods,8.1.2,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,486
,8.2 -Loading,8.2,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,487
"Design provisions of this Code are based on the assump
tion that structures shall be designed to resist all applicable
 loads. The loads shall be in accordance with the general re
quirements of 9.1",,8.2,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,488
,8.3 -Methods ofanalysis,8.3 -Methods ofanalysis,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,489
" All members offrames or continuous construction shall be designed for the maximum effects of factored loads as determined by the theory ofelastic analysis, except as modified according to 8.4 and Appendices A, B, and C. It shall be permitted to simplify design by using the assumptions specified in 8.6through 8.9. ",8.3.1,8.3 -Methods ofanalysis,8.3.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,490
" Except for prestressed concrete, approximate methods offrame analysis are permitted for buildings of usual types ofconstruction, spans, and story heights. ",8.3.2,8.3 -Methods ofanalysis,8.3.2,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,491
,"8.3.3  As an alternative to frame analysis, the following apofcontinuous beams and one-way slabs (slabs reinforced to resistflexural stresses in only one direction), provided:",8.3 -Methods ofanalysis,"8.3.3  As an alternative to frame analysis, the following apofcontinuous beams and one-way slabs (slabs reinforced to resistflexural stresses in only one direction), provided:",,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,492
 Thereare two or more spans; ,(a),8.3 -Methods ofanalysis,"8.3.3  As an alternative to frame analysis, the following apofcontinuous beams and one-way slabs (slabs reinforced to resistflexural stresses in only one direction), provided:",(a),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,493
" Spans are approximatelyequal, with the larger oftwo adjacentspans not greaterthan the shorter by more than 20%, ",(b),8.3 -Methods ofanalysis,"8.3.3  As an alternative to frame analysis, the following apofcontinuous beams and one-way slabs (slabs reinforced to resistflexural stresses in only one direction), provided:",(b),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,494
 Loads are uniformly distributed; ,(c),8.3 -Methods ofanalysis,"8.3.3  As an alternative to frame analysis, the following apofcontinuous beams and one-way slabs (slabs reinforced to resistflexural stresses in only one direction), provided:",(c),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,495
 Unit live load does not exceed 3 times unitdead load; and ,(d),8.3 -Methods ofanalysis,"8.3.3  As an alternative to frame analysis, the following apofcontinuous beams and one-way slabs (slabs reinforced to resistflexural stresses in only one direction), provided:",(d),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,496
" Members are prismatic. Positive moment End spans 12062/11 Discontinuous end unrestrained. Discontinuous end integral Wu2/14 with support. Wu2/16 Interior spans. Negative momentatexterior face offirst interior support wuln219 Two spans. Wun2/10 Morethan two spans Negative momentat other faces of Wu4n2/11 interiorsupports. Negative moment at faceofall supports for: Slabs withspansnotexceeding 10ft, and Beamswhereratioofsum of column stiffnesses tobeam stiffness Wu42/12 exceedseightat eachend ofthe span... Negative moment at interior faceofexteriorsupport for members built integrally withsupports wuin2/24 WheresupportISa spandrel beam....... 1262/16 Where support1Sa column Shear end members at face of first 1.15wnin212 interior support. Wu8212 Shearatface ofall other supports.. ",(e),8.3 -Methods ofanalysis,"8.3.3  As an alternative to frame analysis, the following apofcontinuous beams and one-way slabs (slabs reinforced to resistflexural stresses in only one direction), provided:",(e),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,497
,8.4 -Redistribution of negative moments in continuous nonprestressed flexural members,8.4 -Redistribution of negative moments in continuous nonprestressed flexural members,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,498
" Except where approximate values for moments are used. shall be permitted to increaseor decrease negative moments calculated by elastic theory at supports ofcontinuous flexural members for any assumed loading arrangement by not more than* 20 1 % b Forcriteriaon moment redistribution forprestressedconcrete members, see18.10.4. ",8.4.1,8.4 -Redistribution of negative moments in continuous nonprestressed flexural members,8.4.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,499
 The modified negative moments shall be used for calculating moments at sections within the spans ,8.4.2,8.4 -Redistribution of negative moments in continuous nonprestressed flexural members,8.4.2,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,500
" Redistribution ofnegative moments shall be made only when the section, at which moment 1S reduced, is so designed thatr or r - r'1S not greater than 0.50 Fb, where 0.85 Jc 87 000 b = (8-1) 87, 000+fy ",8.4.3,8.4 -Redistribution of negative moments in continuous nonprestressed flexural members,8.4.3,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,501
,8.5 -Modulus ofelasticity,8.5 -Modulus ofelasticity,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,502
" Modulus of elasticity Ec for concrete shall be permitted to be taken as WC 1.5 33 .lfec(inpsi) for values of We not exceeding 155 lb per cu ft. For normal weight concrete, Ec shall be permitted to be taken as 57,000 ( ",8.5.1,8.5 -Modulus ofelasticity,8.5.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,503
" Modulus ofelasticity Es for non-prestressed reinforcement shall be permitted to be taken as29,,000 000 psi. ",8.5.2,8.5 -Modulus ofelasticity,8.5.2,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,504
" Modulus ofelasticity E, for prestressing tendons shall be determined by tests or supplied by the manufacturer. ",8.5.3,8.5 -Modulus ofelasticity,8.5.3,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,505
,8.6 -Stiffness,8.6 -Stiffness,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,506
" Use ofany set ofreasonable assumptions shall be permitted for computing the relative flexural and torsional stiffnesses ofcolumns, walls, floors, and roofsystems. The assumptions adopted shall be consistentthroughout analysis ",8.6.1,8.6 -Stiffness,8.6.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,507
 Effect ofhaunches shall be considered both in determining moments and in design of members. ,8.6.2,8.6 -Stiffness,8.6.2,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,508
,8.7 -Span length,8.7 -Span length,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,509
 Span length of members not builtintegrally with supports shall be considered the clear span plus depthof member but need not exceed the distance between centers of supports ,8.7.1,8.7 -Span length,8.7.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,510
" In analysis offrames or continuous construction for determination of moments, span length shall be taken as the distance center-to-center ofsupports. ",8.7.2,8.7 -Span length,8.7.2,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,511
" For beams built integrally withsupports, design on the basis ofmoments at faces ofsupport shall be permitted. ",8.7.3,8.7 -Span length,8.7.3,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,512
" Solid or ribbed slabs built integrally with supports, with clear spans not more than 10ft. Itshall be permitted to analyze as continuous slabs on knife edge supports with spansequal to the clear spans ofthe slab and widthofbeams otherwise neglected. ",8.7.4,8.7 -Span length,8.7.4,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,513
,8.8 -Columns,8.8 -Columns,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,514
 Columns shall be designed to resist the axial forces from factored loads on all floors or roofand the maximum moment from factored loads on a single adjacentspan of the floor or roof under consideration. Loading condition giving the maximum rat10 ofmoment to axial load shall also be considered. ,8.8.1,8.8 -Columns,8.8.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,515
" In frames or continuous construction, consideration shall be given to the effect ofunbalanced floor or roof loads on both exterior and interior columns and of eccentric loading due to other causes. ",8.8.2,8.8 -Columns,8.8.2,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,516
" In computing gravity load moments in columns, it shall be permitted toassume as fixed far ends ofcolumns built integrally with the structure. ",8.8.3,8.8 -Columns,8.8.3,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,517
 Resistance to moments at any floor or rooflevel shall be provided by distributing the moment between columns immediately above and below the given floor in proportion to the relative column stiffnesses and conditions of restraint. ,8.8.4,8.8 -Columns,8.8.4,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,518
,8.9 -Arrangement of live load,8.9 -Arrangement of live load,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,519
,8.9.1  It shall be permitted to assume that:,8.9 -Arrangement of live load,8.9.1  It shall be permitted to assume that:,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,520
 The live load is applied only to the floor or roof under consideration; and ,(a),8.9 -Arrangement of live load,8.9.1  It shall be permitted to assume that:,(a),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,521
 The far ends of columns built integrally with the structure are considered to be fixed. ,(b),8.9 -Arrangement of live load,8.9.1  It shall be permitted to assume that:,(b),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,522
,8.9.2  It shall be permitted to assume that the arrangementof live load is limited to combinations of:,8.9 -Arrangement of live load,8.9.2  It shall be permitted to assume that the arrangementof live load is limited to combinations of:,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,523
 Factored dead load on all spans with full factored live load on two adjacent spans; and ,(a),8.9 -Arrangement of live load,8.9.2  It shall be permitted to assume that the arrangementof live load is limited to combinations of:,(a),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,524
 Factored dead load on all spans with full factored live load on alternate spans. ,(b),8.9 -Arrangement of live load,8.9.2  It shall be permitted to assume that the arrangementof live load is limited to combinations of:,(b),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,525
,8.10 -T-beam construction,8.10 -T-beam construction,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,526
" In T-beam construction, the flange and web shall be built integrally or otherwise effectively bonded together. ",8.10.1,8.10 -T-beam construction,8.10.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,527
"Width of slab effective as a T-beam flange shall not exceed one-quarter the span length of the beam, and the effective overhanging flange width on each side of the web shall not exceed:",8.10.2  ,8.10 -T-beam construction,8.10.2  ,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,528
 Eight times the slab thickness; nor ,(a),8.10 -T-beam construction,8.10.2  ,(a),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,529
 One-half the clear distance to the next web. ,(b),8.10 -T-beam construction,8.10.2  ,(b),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,530
"For beams with a slab on one side only, the effective overhanging flange width shall not exceed:",8.10.3,8.10 -T-beam construction,8.10.3,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,531
 One-twelfth the span length of the beam; ,(a),8.10 -T-beam construction,8.10.3,(a),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,532
 Six times the slab thickness; nor ,(b),8.10 -T-beam construction,8.10.3,(b),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,533
 One-half the clear distance to the next web. ,(c),8.10 -T-beam construction,8.10.3,(c),,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,534
" Isolated beams, in which the T-shape is used to provide a flange for additional compression area, shall have a flange thickness not less than one-half the width of web and an effective flange width not more than 4 times the width of web. ",8.10.4,8.10 -T-beam construction,8.10.4,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,535
"that is considered as a T-beam flange (excluding joist construction) is parallel to the beam, reinforcement perpendicular to the beam shall be provided in the top of the slab in accordance with the following: ",8.10.5 ,8.10 -T-beam construction,8.10.5  Where primary flexural reinforcement in a slab,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,536
"Where primary flexural reinforcement in a slab Transverse reinforcement shall be designed to carry the factored load on the overhanging slab width assumed to act as a cantilever. For isolated beams, the full width of overhanging flange shall be considered. For other T-beams, only the effective overhanging slab width need be considered. ",8.10.5.1,8.10 -T-beam construction,8.10.5  Where primary flexural reinforcement in a slab,8.10.5.1,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,537
" Transverse reinforcement shall not be spaced farther apart than five times the slab thickness, nor 18 in. ",8.10.5.2,8.10 -T-beam construction,8.10.5  Where primary flexural reinforcement in a slab,8.10.5.2,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,538
,8.11 -Joist construction,8.11 -Joist construction,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,539
 Joist construction consists of a monolithic combination of regularly spaced ribs and a top slab arranged to span in one direction or two orthogonal directions. ,8.11.1,8.11 -Joist construction,8.11.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,540
 Ribs shall not be less than 4 in. in width; and shall have a depth of not more than 3-1/2 times the minimum width of rib. ,8.11.2,8.11 -Joist construction,8.11.2,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,541
 Clear spacing between ribs shall not exceed 30 in. ,8.11.3,8.11 -Joist construction,8.11.3,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,542
 Joist construction not meeting the limitations of 8.11.1 through 8.11.3 shall be designed as slabs and beams ,8.11.4,8.11 -Joist construction,8.11.4,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,543
" Removable forms shall be used and slab thickness shall not be less than 1/12 the clear distance between ribs, nor less than 2 in. ",8.11.5,8.11 -Joist construction,8.11.5,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,544
" Reinforcement normal to the ribs shall be provided in the slab as required for flexure, considering load concentrations, if any, but not less than required by 7.12. ",8.11.6,8.11 -Joist construction,8.11.6,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,545
" Where conduits or pipes as permitted b y 6.3 are embedded within the slab, slab thickness shall be at least 1 in. greater than the total overall depth ofthe conduits or pipes at any point. Conduits or pipes shall not impair significantly the strength ofthe construction. ",8.11.7,8.11 -Joist construction,8.11.7,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,546
" For Joist construction, contribution ofconcrete to shear strength Vc shall be permitted to be 10% more than that specified in Chapter 11. It shall be permitted to increase shear strength using shear reinforcement or by widening the ends of ribs. ",8.11.8,8.11 -Joist construction,8.11.8,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,547
,8.12 -Separate floor finish,8.12 -Separate floor finish,,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,548
 A floor finish shall not be included as part ofa structural member unless placed monolithically with the floor slab or designed in accordance with requirements of Chapter 17.  ,8.12.1,8.12 -Separate floor finish,8.12.1,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,549
 It shall be permitted to consider all concrete floor finishes as part ofrequired cover or total thickness for nonstructural considerations ,8.12.2,8.12 -Separate floor finish,8.12.2,,,CHAPTER 8 -ANALYSIS AND DESIGN: GENERAL CONSIDERATIONS,,,550
,CHAPTER 9 -STRENGTH AND SERVICEABILITY REQUIREMENTS,,,,,CHAPTER 9 -STRENGTH AND SERVICEABILITY REQUIREMENTS,,,551
,9.1 -General,9.1 -General,,,,CHAPTER 9 -STRENGTH AND SERVICEABILITY REQUIREMENTS,,,552
